taxonomy,species,infect,rfpper,distance_from_discoideum
Dictyostelium_purpureum,purpureum,B11,14.6,0.18514417
Dictyostelium_purpureum,purpureum,B11,17.7,0.18514417
Dictyostelium_purpureum,purpureum,B70,0.2,0.18514417
Dictyostelium_purpureum,purpureum,B70,2.1,0.18514417
Dictyostelium_purpureum,purpureum,B70,4.7,0.18514417
Dictyostelium_purpureum,purpureum,B859,4,0.18514417
Dictyostelium_purpureum,purpureum,B859,39.6,0.18514417
Dictyostelium_purpureum,purpureum,B859,55.5,0.18514417
Dictyostelium_purpureum,purpureum,KP,0,0.18514417
Dictyostelium_purpureum,purpureum,KP,0.06,0.18514417
Dictyostelium_purpureum,purpureum,KP,0.3,0.18514417
Dictyostelium_purpureum,purpureum,B11,3.7,0.18514417
Dictyostelium_purpureum,purpureum,B11,25.6,0.18514417
Dictyostelium_purpureum,purpureum,B11,28.3,0.18514417
Dictyostelium_purpureum,purpureum,B11,18.5,0.18514417
Dictyostelium_purpureum,purpureum,B70,1.9,0.18514417
Dictyostelium_purpureum,purpureum,B70,2.4,0.18514417
Dictyostelium_purpureum,purpureum,B70,4.8,0.18514417
Dictyostelium_purpureum,purpureum,B70,2.7,0.18514417
Dictyostelium_purpureum,purpureum,B859,16.1,0.18514417
Dictyostelium_purpureum,purpureum,B859,46,0.18514417
Dictyostelium_purpureum,purpureum,B859,56.5,0.18514417
Dictyostelium_purpureum,purpureum,B859,23.9,0.18514417
Dictyostelium_purpureum,purpureum,KP,0,0.18514417
Dictyostelium_purpureum,purpureum,KP,0.4,0.18514417
Dictyostelium_purpureum,purpureum,KP,2.4,0.18514417
Dictyostelium_purpureum,purpureum,KP,0.2,0.18514417
Polysphondylium_violaceum,violaceum,B11,17.2,0.32465167
Polysphondylium_violaceum,violaceum,B11,35.8,0.32465167
Polysphondylium_violaceum,violaceum,B11,57.7,0.32465167
